Manufacturer Part Number,Manufacturer,Quantity,Order List,Supplier Name,Supplier Part Number,Order List (Supplier Link),Packaging,MOQ,MPQ,"Unit Price, $",Stock,Supplier Order Quantity,"Subtotal, $"
113991254,Seeed Studio,1,Mouser 713-113991254,Mouser,713-113991254,https://octopart.com/opatz8j6/a1?t=qA_SiqMu8FFQVcVKTRO_H2C8_4GZErpeeKIkERUzPm5exrh0IgAQfazf2dHf8ZHprn4cZTDQTQR1zM9Y4Nu9MoTfGukcGnXcql9I0pzZCwNpXAvdUNNpwIryXQX0Lac1lAE0chjGv-LTLJoS17Zw3l1J_MSbqnpJtCKBfHmBGGRYPQ25339MkRCHVzfHT7Z1raJU9F5FUAmBVH-DWbh7tD3Sj-pHhrKmp9I3SbPhV0tYqU2pOEQ0RrHgrbgD5yrc6Qv73eztaW_NZqOVGY3jXqXlJs3Tkg,,1,,5.38,905,1,5.38
74437346047,Wurth Elektronik,1,Mouser 710-74437346047,Mouser,710-74437346047,https://octopart.com/opatz8j6/a1?t=h5vkHntL3Cs_xVwqR4GdTPjtJ09t6UJC0moDnmg24rzxG7WRfHYy50RD-mZhwzGQyTvguQzjiPhbvAZXApyd45AisYekQ_vPx_yQ2it8FTI6erUHS3DGJQ_ixQg_GXoQ8pTIub-l-qNLe1m46ktS3BB4bSBzHfacQDbBLgLPbeYGfdUVH2ql_GynVlyu_-rCXHD55NloUbqLLffW03dcRYP3wUSbtkoe_2vSZQmKh8lj2MU9RV-CZCX8F_o8VvjqPfkonmN4CI43pXd4Tl4nnXe6WdWf,Tape & Reel,1,,2.25,708,1,2.25
WR08X333 JTL,Walsin Technologies,9,Mouser 791-WR08X333JTL,Mouser,791-WR08X333JTL,https://octopart.com/opatz8j6/a1?t=9SQ-HnfbACB-e-xGVnyoKjj9cxK-EiqWVLXvjsm8tgZ2-tDkdfwiO3V6WLMp9bschfb4-jGluZbr3BGt9dQN5ihKApufLPf2UR1GIw24T7Gnh1aSvQ_7aA_Yk2GuxcBuRe1pGegf0yNUypBvaiauYksQR9hwiwMUtiDG0kvlJUYk_R6iFyYGyyzh4P4CC4FLZFbWUKzZoqSHqwyT9MhckY-7TUKZMDKDn3TOTDuzJvXQRLDOPsAG7G4b-3m2bgz8T_45nday-pa8yk9A-fOKxc2JtoS2,Tape & Reel,1,,0.012,45267,10,0.120
RC0805JR-0756KL,Yageo Group,1,Mouser 603-RC0805JR-0756KL,Mouser,603-RC0805JR-0756KL,https://octopart.com/opatz8j6/a1?t=5lTHHL9IcicP0RZPXf6Ujaj0ByaQDdRjKhsXkbMAHp2mfTQFWqMGT9SikcOeA_x7xFOd-2rR6Abnu2wZjVbdCLnuKQgOXYpm0FsDFBRoKARNJW_nzSjjLLJ35iFg33RbIj1flVPTvw4cgNSepvQH9iNa6zVUWmCRizVnJjMZHTM2OmNTEgxkRpw34hQ6EprV4AEnTzPK7x3Y0M6qCMcc_SUx1RJKYIiGqVA3MMeUc4KA4k0mBRynMueGFK7Y3x2dhGmSf5Y1ncXzj5jvwqPVnI3f0NcH,Tape & Reel,1,,0.1,11898,1,0.1
CRCW080510K0JNEA,Vishay,1,Mouser 71-CRCW0805J-10K-E3,Mouser,71-CRCW0805J-10K-E3,https://octopart.com/opatz8j6/a1?t=91QlNCy2jHevHLzkKkVo7UvfhnjnksvFRUEQWCCx60FJj7k-n07OXe_MX_p0M5rZLNbqqLtuunIXXTh2EjMm8h3p8kHi0CD7q1hxE46E3t70qu1U-XwMnpAPqHh4zPXB1R5gLjpeDFEMOAJWOxluEzzjYBZafzpntjWWynXlBPixORIJjuLTgit-EThdAIq4YpQnEBINBeSMGr6PsT5RnNgUOePFtusPR9YdnMW7GEBLfPUm_tFzv_aYGHIXCRzgQkPEwEHVnwgoUM0IRmimJr8W9Z7e,Tape & Reel,1,,0.1,430261,1,0.1
RT0805BRD0733K2L,Yageo Group,1,Mouser 603-RT0805BRD0733K2L,Mouser,603-RT0805BRD0733K2L,https://octopart.com/opatz8j6/a1?t=d0DzoC2eUSrbLLtk-NgP0CHKPYJi8CQpxKueYIyzNbsSVbAvkcBsmguDTGJi7wVZ1Q-H0hfnv8ynCc1CjirqAqTlKIVjPuOvXmJGhMZsETo9Gbq_NAXPG_ZfkuPF0r9aBsd_p5pn--PIfSWWJghqcrQvc8QpC5Y5ht3Gn41GPti31AxwZ2sS6UFCwBhK3GylMBv1kQ9eWvlPVS-LGOy-3cO2YHM247I1-f9NJ56Hn1Wocc4UQaSoYRRtSHCXT7wufzRUbRpMNN19j1JYsQphXN6hM6k,Tape & Reel,1,,0.12,6023,1,0.12
RC0805FR-07120KL,Yageo Group,1,Mouser 603-RC0805FR-07120KL,Mouser,603-RC0805FR-07120KL,https://octopart.com/opatz8j6/a1?t=r0o1VACIe8gnG6vLrtTLaM29hdPZfCJhl-1qe5gI_MnLX_5-J48brv4CFqItsriskSB-QkJdh8NOT_uwnzx15Y7_KDa1ZBm8fQjDKxEthplOSVR0bpdCdybiZ5u2ylTptm_mFlVPWQB1yCaoyNEy5LMqu0-oR233OQf84VnqWuLU77DnACxjqqCxaNe11FLF3Ph_kMNTo0488b90_fjGx5vMHxCdRqW6bwSCAQXQnX3jan3kQQfESBgc1P4-ybVCnT9UDwMxGrf0--8opjzh_7pyTeQL,Tape & Reel,1,,0.1,102044,1,0.1
SMAJ40CA,Littelfuse,1,Mouser 576-SMAJ40CA,Mouser,576-SMAJ40CA,https://octopart.com/opatz8j6/a1?t=fmm0UyEbkjEz8T9uqv2mV_kR-uhYOFFK87F8uHNK5ZSpytAVW_mzCcd92WBDQ-3ub1_yqzI3iI0dYP2Ap0HnWyTCc8R0eH0z84SA4v-XHmCr7TLeBiR4MX3J2cf0NPASysmGHs5nkhdbSXFvFUnp51fa_buwtKClxVaI7b_68uIvwMcRIfq9Izi5HmFpAoEgbzZKZnMwf8ZkoHv416_hbSAuZrUIhyrOknY4WXecBArerTR5DkHmvhZVNfhWvGrkoR1N4zBwdck-1U5fi6ADrzhZ-A,Tape & Reel,1,,0.51,60335,1,0.51
TSW-103-07-T-S,Samtec,8,Mouser 200-TSW10307TS,Mouser,200-TSW10307TS,https://octopart.com/opatz8j6/a1?t=8o53A6wg12PS6vSGkj0mnKKc_l0WflCV4BdzEhrjbnKOYtU-0ZLYsRkr_qyQC_-IRSQGwZW-wBhKn5J9nggaCoT9YY-NJ_cEJA33B8dOVYpQCI1lANRkeyglD5jjFNSStb4Bc6l3700rRk-cu31CtFEfHLU0pjS2QShY5XXJtGvlOLFbvLbv0YtuCUUr2SswWOeKYIkpQjoNXS1kFpGyLahN4-LJIgJ1gOvYkflbiyOaFTkBmPE_pDhwa_6SdN4F2ZzKJXe4bhUaqDKULdVk4XMZ,Bulk,1,,0.12,106556,8,0.96
